query,spark_time,spark_std_dev,sparser_time,sparser_std_dev,query_only_time,query_only_std_dev
disk load time,7.743000,0.327532,,,,
1,66.147200,1.402215,9.355800,0.188792,1.115000,0.188792
2,70.946800,1.245419,8.640000,0.369045,1.298800,0.369045
3,69.540800,0.234426,13.058800,0.129970,0.731600,0.129970
4,70.550800,1.017382,7.758200,0.361874,1.420000,0.361874
